StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q23,Q40,Q25,Q27,Q29,Q29_10_TEXT,Q31,Q33,Q27,ranking_1,ranking_2,ranking_3,ranking_4,ranking_5,allocation_1,allocation_2,allocation_3,allocation_4,allocation_5,variance,hint
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"PARTICIPANT CONSENT FORM By selecting each box below, I agree to take part in this research study. I give consent to my participation in the research project 
















Project Name: Business
decision making

 In giving my consent I acknowledge that:",What is your Prolific ID?,What is your sex?,What is your age in years?,Do you speak a language other than English at home? - Selected Choice,Do you speak a language other than English at home? - Other (please specify) - Text,List of Countries,How many years of experience do you have working in business?,How much experience do you have studying business?,"Rank the projects in order of investment priority (drag and drop).
Remember that you're trying to enter a high-quality market. - PROJECT 1","Rank the projects in order of investment priority (drag and drop).
Remember that you're trying to enter a high-quality market. - PROJECT 2","Rank the projects in order of investment priority (drag and drop).
Remember that you're trying to enter a high-quality market. - PROJECT 3","Rank the projects in order of investment priority (drag and drop).
Remember that you're trying to enter a high-quality market. - PROJECT 4","Rank the projects in order of investment priority (drag and drop).
Remember that you're trying to enter a high-quality market. - PROJECT 5",How will you allocate your budget across these five projects (percentages must sum to 100%)? - PROJECT 1,How will you allocate your budget across these five projects (percentages must sum to 100%)? - PROJECT 2,How will you allocate your budget across these five projects (percentages must sum to 100%)? - PROJECT 3,How will you allocate your budget across these five projects (percentages must sum to 100%)? - PROJECT 4,How will you allocate your budget across these five projects (percentages must sum to 100%)? - PROJECT 5,variance,hint
"{""ImportId"":""startDate"",""timeZone"":""Australia/Canberra""}","{""ImportId"":""endDate"",""timeZone"":""Australia/Canberra""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Australia/Canberra""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID25""}","{""ImportId"":""QID43_TEXT""}","{""ImportId"":""QID26""}","{""ImportId"":""QID27_TEXT""}","{""ImportId"":""QID28""}","{""ImportId"":""QID28_10_TEXT""}","{""ImportId"":""QID29""}","{""ImportId"":""QID30""}","{""ImportId"":""QID31""}","{""ImportId"":""QID7_1""}","{""ImportId"":""QID7_2""}","{""ImportId"":""QID7_3""}","{""ImportId"":""QID7_4""}","{""ImportId"":""QID7_5""}","{""ImportId"":""QID8_1""}","{""ImportId"":""QID8_2""}","{""ImportId"":""QID8_3""}","{""ImportId"":""QID8_4""}","{""ImportId"":""QID8_5""}","{""ImportId"":""variance""}","{""ImportId"":""hint""}"
2019-01-13 17:39:50,2019-01-13 17:40:25,Survey Preview,,100,34,True,2019-01-13 17:40:25,R_2w5XzIOSQb9T7cX,,,,,-33.8612060546875,151.198211669921875,preview,EN,,,,,,,,,,,,,,,0,0,0,0,0,1,1
2019-01-13 17:43:17,2019-01-13 17:44:05,Survey Preview,,100,47,True,2019-01-13 17:44:05,R_1Nzd48LSZDg4hCE,,,,,-33.8612060546875,151.198211669921875,preview,EN,,,,,,,,,,,,,,,,,,,,1,3
2019-01-14 14:42:59,2019-01-14 15:09:22,IP Address,1.129.111.195,100,1582,True,2019-01-14 15:09:24,R_3koXojVgSMbSt84,,,,,-33.847198486328125,151.103790283203125,anonymous,EN,"The procedures required for the project and the time involved have been explained to me, and any questions I have about the project have been answered to my satisfaction.,I have read the Participant Information Statement and have been given the opportunity to discuss via email the information and my involvement in the project with the researcher/s.,I understand that being in this study is completely voluntary – I am not under any obligation to consent.,I understand that my involvement is strictly confidential. I understand that any research data gathered from the results of the study may be published however no information about me will be used in any way that is identifiable.,I understand that I can withdraw from the study at any time, without affecting my relationship with the researcher(s) or the University of Sydney now or in the future.",,Male,73,No,,Angola,Less than 1,None,4,5,2,3,1,21,49,5,5,20,1,2
2019-01-16 16:34:15,2019-01-16 16:35:04,IP Address,129.78.56.184,100,48,True,2019-01-16 16:35:04,R_24nKf4afoUxayni,,,,,-33.8612060546875,151.198211669921875,anonymous,EN,"The procedures required for the project and the time involved have been explained to me, and any questions I have about the project have been answered to my satisfaction.,I have read the Participant Information Statement and have been given the opportunity to discuss via email the information and my involvement in the project with the researcher/s.,I understand that being in this study is completely voluntary – I am not under any obligation to consent.,I understand that my involvement is strictly confidential. I understand that any research data gathered from the results of the study may be published however no information about me will be used in any way that is identifiable.,I understand that I can withdraw from the study at any time, without affecting my relationship with the researcher(s) or the University of Sydney now or in the future.",,Male,11,Hebrew,,Afghanistan,Less than 1,None,1,2,4,3,5,100,0,0,0,0,1,1
2019-01-16 16:57:29,2019-01-16 16:59:47,IP Address,129.78.56.184,100,138,True,2019-01-16 16:59:48,R_1QG8OSdhln8cCuJ,,,,,-33.8612060546875,151.198211669921875,anonymous,EN,"The procedures required for the project and the time involved have been explained to me, and any questions I have about the project have been answered to my satisfaction.,I have read the Participant Information Statement and have been given the opportunity to discuss via email the information and my involvement in the project with the researcher/s.,I understand that being in this study is completely voluntary – I am not under any obligation to consent.,I understand that my involvement is strictly confidential. I understand that any research data gathered from the results of the study may be published however no information about me will be used in any way that is identifiable.,I understand that I can withdraw from the study at any time, without affecting my relationship with the researcher(s) or the University of Sydney now or in the future.",,Male,11,Hebrew,,Afghanistan,Less than 1,None,1,2,3,4,5,100,0,0,0,0,1,3
2019-01-16 17:05:47,2019-01-16 17:09:27,IP Address,101.177.112.182,100,219,True,2019-01-16 17:09:27,R_Wlfs7pEcoCW0kdb,,,,,-31.938201904296875,115.922607421875,anonymous,EN,"The procedures required for the project and the time involved have been explained to me, and any questions I have about the project have been answered to my satisfaction.,I have read the Participant Information Statement and have been given the opportunity to discuss via email the information and my involvement in the project with the researcher/s.,I understand that being in this study is completely voluntary – I am not under any obligation to consent.,I understand that my involvement is strictly confidential. I understand that any research data gathered from the results of the study may be published however no information about me will be used in any way that is identifiable.,I understand that I can withdraw from the study at any time, without affecting my relationship with the researcher(s) or the University of Sydney now or in the future.",,Male,18,No,,Australia,Less than 1,None,1,3,5,2,4,25,20,15,23,17,2,1
2019-01-16 17:07:33,2019-01-16 17:09:39,IP Address,82.72.39.141,100,126,True,2019-01-16 17:09:40,R_3GD2OPR5fODOZ8k,,,,,53.1338958740234375,6.868896484375,anonymous,EN,"The procedures required for the project and the time involved have been explained to me, and any questions I have about the project have been answered to my satisfaction.,I have read the Participant Information Statement and have been given the opportunity to discuss via email the information and my involvement in the project with the researcher/s.,I understand that being in this study is completely voluntary – I am not under any obligation to consent.,I understand that my involvement is strictly confidential. I understand that any research data gathered from the results of the study may be published however no information about me will be used in any way that is identifiable.,I understand that I can withdraw from the study at any time, without affecting my relationship with the researcher(s) or the University of Sydney now or in the future.",,Male,23,Other (please specify),Dutch,Netherlands,3,High school,2,3,5,1,4,50,33,17,0,0,1,2
2019-01-16 17:05:50,2019-01-16 17:10:58,IP Address,70.67.30.31,100,307,True,2019-01-16 17:10:59,R_2WMai3EZbqiI76s,,,,,48.382904052734375,-123.5359039306640625,anonymous,EN,"The procedures required for the project and the time involved have been explained to me, and any questions I have about the project have been answered to my satisfaction.,I have read the Participant Information Statement and have been given the opportunity to discuss via email the information and my involvement in the project with the researcher/s.,I understand that being in this study is completely voluntary – I am not under any obligation to consent.,I understand that my involvement is strictly confidential. I understand that any research data gathered from the results of the study may be published however no information about me will be used in any way that is identifiable.,I understand that I can withdraw from the study at any time, without affecting my relationship with the researcher(s) or the University of Sydney now or in the future.",,Female,32,No,,Canada,5,None,2,3,5,1,4,34,21,1,38,6,2,3
