StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q83,Q81,Q79,Q75,Q85,Q85_10_TEXT,Q82,Q77,Q89_1,Q89_2,Q89_3,Q89_4,Q89_5,Q70_1,Q70_2,Q70_3,Q70_4,Q70_5,Q71_1,Q71_2,Q71_3,Q71_4,Q71_5,Q72,Q101_1,Q101_2,Q101_3,Q101_4,Q101_5,Q102_1,Q102_2,Q102_3,Q102_4,Q102_5,Q103_1,Q103_2,Q103_3,Q103_4,Q103_5,Q104,Q96_1,Q96_2,Q96_3,Q96_4,Q96_5,Q97_1,Q97_2,Q97_3,Q97_4,Q97_5,Q98_1,Q98_2,Q98_3,Q98_4,Q98_5,Q99,Q88_1,Q88_2,Q88_3,Q88_4,Q88_5,Q17_1,Q17_2,Q17_3,Q17_4,Q17_5,Q18_1,Q18_2,Q18_3,Q18_4,Q18_5,Q19,errorAllocation,alignAllocation
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"School of PsychologyFaculty of ScienceMicah B. GoldwaterChief InvestigatorRoom 336Brennan MacCallum Building A18The University of SydneyNSW 2006 AUSTRALIAEmail: micah.goldwater@sydney.edu.auWeb: http://www.sydney.edu.au/ PARTICIPANT CONSENT FORM By selecting each box below, I agree to take part in this research study. I give consent to my participation in the research project TITLE:    Learning from examples. In giving my consent I acknowledge that:",What is your Prolific ID?,What is your sex?,What is your age in years?,Do you speak a language other than English at home? - Selected Choice,Do you speak a language other than English at home? - Other (please specify) - Text,List of Countries,What is the highest level of school you have completed or the highest degree you have received?,"Rank the projects in order of investment priority (drag and drop).
Remember that you're trying to enter a high-quality market. - PROJECT 1","Rank the projects in order of investment priority (drag and drop).
Remember that you're trying to enter a high-quality market. - PROJECT 2","Rank the projects in order of investment priority (drag and drop).
Remember that you're trying to enter a high-quality market. - PROJECT 3","Rank the projects in order of investment priority (drag and drop).
Remember that you're trying to enter a high-quality market. - PROJECT 4","Rank the projects in order of investment priority (drag and drop).
Remember that you're trying to enter a high-quality market. - PROJECT 5",How will you allocate your budget across these five projects (percentages must sum to 100%)? - PROJECT 1,How will you allocate your budget across these five projects (percentages must sum to 100%)? - PROJECT 2,How will you allocate your budget across these five projects (percentages must sum to 100%)? - PROJECT 3,How will you allocate your budget across these five projects (percentages must sum to 100%)? - PROJECT 4,How will you allocate your budget across these five projects (percentages must sum to 100%)? - PROJECT 5,How confident are you in each of your decisions? - PROJECT 1,How confident are you in each of your decisions? - PROJECT 2,How confident are you in each of your decisions? - PROJECT 3,How confident are you in each of your decisions? - PROJECT 4,How confident are you in each of your decisions? - PROJECT 5,Justify your decision,"Rank the projects in order of investment priority (drag and drop).
Remember that you're trying to enter a high-quality market. - PROJECT 1","Rank the projects in order of investment priority (drag and drop).
Remember that you're trying to enter a high-quality market. - PROJECT 2","Rank the projects in order of investment priority (drag and drop).
Remember that you're trying to enter a high-quality market. - PROJECT 3","Rank the projects in order of investment priority (drag and drop).
Remember that you're trying to enter a high-quality market. - PROJECT 4","Rank the projects in order of investment priority (drag and drop).
Remember that you're trying to enter a high-quality market. - PROJECT 5",How will you allocate your budget across these five projects (percentages must sum to 100%)? - PROJECT 1,How will you allocate your budget across these five projects (percentages must sum to 100%)? - PROJECT 2,How will you allocate your budget across these five projects (percentages must sum to 100%)? - PROJECT 3,How will you allocate your budget across these five projects (percentages must sum to 100%)? - PROJECT 4,How will you allocate your budget across these five projects (percentages must sum to 100%)? - PROJECT 5,How confident are you in each of your decisions? - PROJECT 1,How confident are you in each of your decisions? - PROJECT 2,How confident are you in each of your decisions? - PROJECT 3,How confident are you in each of your decisions? - PROJECT 4,How confident are you in each of your decisions? - PROJECT 5,Justify your decision,"Rank the projects in order of investment priority (drag and drop).
Remember that you're trying to enter a high-quality market. - PROJECT 1","Rank the projects in order of investment priority (drag and drop).
Remember that you're trying to enter a high-quality market. - PROJECT 2","Rank the projects in order of investment priority (drag and drop).
Remember that you're trying to enter a high-quality market. - PROJECT 3","Rank the projects in order of investment priority (drag and drop).
Remember that you're trying to enter a high-quality market. - PROJECT 4","Rank the projects in order of investment priority (drag and drop).
Remember that you're trying to enter a high-quality market. - PROJECT 5",How will you allocate your budget across these five projects (percentages must sum to 100%)? - PROJECT 1,How will you allocate your budget across these five projects (percentages must sum to 100%)? - PROJECT 2,How will you allocate your budget across these five projects (percentages must sum to 100%)? - PROJECT 3,How will you allocate your budget across these five projects (percentages must sum to 100%)? - PROJECT 4,How will you allocate your budget across these five projects (percentages must sum to 100%)? - PROJECT 5,How confident are you in each of your decisions? - PROJECT 1,How confident are you in each of your decisions? - PROJECT 2,How confident are you in each of your decisions? - PROJECT 3,How confident are you in each of your decisions? - PROJECT 4,How confident are you in each of your decisions? - PROJECT 5,Justify your decision,"Rank the projects in order of investment priority (drag and drop).
Remember that you're trying to enter a high-quality market. - PROJECT 1","Rank the projects in order of investment priority (drag and drop).
Remember that you're trying to enter a high-quality market. - PROJECT 2","Rank the projects in order of investment priority (drag and drop).
Remember that you're trying to enter a high-quality market. - PROJECT 3","Rank the projects in order of investment priority (drag and drop).
Remember that you're trying to enter a high-quality market. - PROJECT 4","Rank the projects in order of investment priority (drag and drop).
Remember that you're trying to enter a high-quality market. - PROJECT 5",How will you allocate your budget across these five projects (percentages must sum to 100%)? - PROJECT 1,How will you allocate your budget across these five projects (percentages must sum to 100%)? - PROJECT 2,How will you allocate your budget across these five projects (percentages must sum to 100%)? - PROJECT 3,How will you allocate your budget across these five projects (percentages must sum to 100%)? - PROJECT 4,How will you allocate your budget across these five projects (percentages must sum to 100%)? - PROJECT 5,How confident are you in each of your decisions? - PROJECT 1,How confident are you in each of your decisions? - PROJECT 2,How confident are you in each of your decisions? - PROJECT 3,How confident are you in each of your decisions? - PROJECT 4,How confident are you in each of your decisions? - PROJECT 5,Justify your decision,errorAllocation,alignAllocation
"{""ImportId"":""startDate"",""timeZone"":""Australia/Canberra""}","{""ImportId"":""endDate"",""timeZone"":""Australia/Canberra""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Australia/Canberra""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID83""}","{""ImportId"":""QID81_TEXT""}","{""ImportId"":""QID76""}","{""ImportId"":""QID74_TEXT""}","{""ImportId"":""QID80""}","{""ImportId"":""QID80_10_TEXT""}","{""ImportId"":""QID78""}","{""ImportId"":""QID75""}","{""ImportId"":""QID89_1""}","{""ImportId"":""QID89_2""}","{""ImportId"":""QID89_3""}","{""ImportId"":""QID89_4""}","{""ImportId"":""QID89_5""}","{""ImportId"":""QID70_1""}","{""ImportId"":""QID70_2""}","{""ImportId"":""QID70_3""}","{""ImportId"":""QID70_4""}","{""ImportId"":""QID70_5""}","{""ImportId"":""QID71_1""}","{""ImportId"":""QID71_2""}","{""ImportId"":""QID71_3""}","{""ImportId"":""QID71_4""}","{""ImportId"":""QID71_5""}","{""ImportId"":""QID72_TEXT""}","{""ImportId"":""QID101_1""}","{""ImportId"":""QID101_2""}","{""ImportId"":""QID101_3""}","{""ImportId"":""QID101_4""}","{""ImportId"":""QID101_5""}","{""ImportId"":""QID102_1""}","{""ImportId"":""QID102_2""}","{""ImportId"":""QID102_3""}","{""ImportId"":""QID102_4""}","{""ImportId"":""QID102_5""}","{""ImportId"":""QID103_1""}","{""ImportId"":""QID103_2""}","{""ImportId"":""QID103_3""}","{""ImportId"":""QID103_4""}","{""ImportId"":""QID103_5""}","{""ImportId"":""QID104_TEXT""}","{""ImportId"":""QID96_1""}","{""ImportId"":""QID96_2""}","{""ImportId"":""QID96_3""}","{""ImportId"":""QID96_4""}","{""ImportId"":""QID96_5""}","{""ImportId"":""QID97_1""}","{""ImportId"":""QID97_2""}","{""ImportId"":""QID97_3""}","{""ImportId"":""QID97_4""}","{""ImportId"":""QID97_5""}","{""ImportId"":""QID98_1""}","{""ImportId"":""QID98_2""}","{""ImportId"":""QID98_3""}","{""ImportId"":""QID98_4""}","{""ImportId"":""QID98_5""}","{""ImportId"":""QID99_TEXT""}","{""ImportId"":""QID88_1""}","{""ImportId"":""QID88_2""}","{""ImportId"":""QID88_3""}","{""ImportId"":""QID88_4""}","{""ImportId"":""QID88_5""}","{""ImportId"":""QID17_1""}","{""ImportId"":""QID17_2""}","{""ImportId"":""QID17_3""}","{""ImportId"":""QID17_4""}","{""ImportId"":""QID17_5""}","{""ImportId"":""QID18_1""}","{""ImportId"":""QID18_2""}","{""ImportId"":""QID18_3""}","{""ImportId"":""QID18_4""}","{""ImportId"":""QID18_5""}","{""ImportId"":""QID19_TEXT""}","{""ImportId"":""errorAllocation""}","{""ImportId"":""alignAllocation""}"
2018-09-12 13:53:57,2018-09-12 13:55:37,Survey Preview,,100,99,True,2018-09-12 13:55:37,R_22x0mUxHv8iHZaW,,,,,-33.861206054688,151.19821166992,preview,EN,"I understand that I can withdraw from the study at any time, without affecting my relationship with the researcher(s) or the University of Sydney now or in the future.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,3,1
2018-09-12 14:42:55,2018-09-12 14:45:58,IP Address,50.44.170.178,100,182,True,2018-09-12 14:45:58,R_3QQMSEiDENdrYjY,,,,,39.740097045898,-90.238800048828,anonymous,EN,"The procedures required for the project and the time involved have been explained to me, and any questions I have about the project have been answered to my satisfaction.,I have read the Participant Information Statement and have been given the opportunity to discuss via email the information and my involvement in the project with the researcher/s.,I understand that being in this study is completely voluntary – I am not under any obligation to consent.,I understand that my involvement is strictly confidential. I understand that any research data gathered from the results of the study may be published however no information about me will be used in any way that is identifiable.,I understand that I can withdraw from the study at any time, without affecting my relationship with the researcher(s) or the University of Sydney now or in the future.",5b976591a2980c0001c4c7b3,Male,42,No,,United States of America,Doctoral degree,4,5,2,1,3,9,17,9,63,2,97,94,95,93,98,its very good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
2018-09-12 14:49:47,2018-09-12 14:53:25,IP Address,81.143.230.77,100,217,True,2018-09-12 14:53:25,R_29nYBKf7H62V7G6,,,,,51.5,-0.14999389648438,anonymous,EN,"The procedures required for the project and the time involved have been explained to me, and any questions I have about the project have been answered to my satisfaction.,I have read the Participant Information Statement and have been given the opportunity to discuss via email the information and my involvement in the project with the researcher/s.,I understand that being in this study is completely voluntary – I am not under any obligation to consent.,I understand that my involvement is strictly confidential. I understand that any research data gathered from the results of the study may be published however no information about me will be used in any way that is identifiable.,I understand that I can withdraw from the study at any time, without affecting my relationship with the researcher(s) or the University of Sydney now or in the future.",5b974698754b700001f0b980,Male,35,No,,United Kingdom of Great Britain and Northern Ireland,Less than high school degree,,,,,,,,,,,,,,,,,3,1,5,4,2,40,60,0,0,0,100,100,100,100,100,Project 1 will thrive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2
2018-09-12 14:48:28,2018-09-12 14:58:55,IP Address,98.235.222.226,100,626,True,2018-09-12 14:58:55,R_2VdNtzjpqMijHJS,,,,,40.289703369141,-76.822998046875,anonymous,EN,"The procedures required for the project and the time involved have been explained to me, and any questions I have about the project have been answered to my satisfaction.,I have read the Participant Information Statement and have been given the opportunity to discuss via email the information and my involvement in the project with the researcher/s.,I understand that being in this study is completely voluntary – I am not under any obligation to consent.,I understand that my involvement is strictly confidential. I understand that any research data gathered from the results of the study may be published however no information about me will be used in any way that is identifiable.,I understand that I can withdraw from the study at any time, without affecting my relationship with the researcher(s) or the University of Sydney now or in the future.",5b986afa4cac420001e389ea,Male,28,No,,United States of America,High school graduate (high school diploma or equivalent),,,,,,,,,,,,,,,,,2,3,5,1,4,30,15,10,40,5,60,40,35,80,35,"I wanted to lead with Project 4 because it offers the highest NPV. It's a budget item, and will hopefully be available to a wider consumer base. I applied this logic (lower specs having an inverse relationship to the NPV) with the other projects.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2
2018-09-12 14:52:47,2018-09-12 14:59:30,IP Address,70.121.53.243,100,402,True,2018-09-12 14:59:30,R_PBOetOHkMnFUdKp,,,,,32.972198486328,-96.737602233887,anonymous,EN,"The procedures required for the project and the time involved have been explained to me, and any questions I have about the project have been answered to my satisfaction.,I have read the Participant Information Statement and have been given the opportunity to discuss via email the information and my involvement in the project with the researcher/s.,I understand that being in this study is completely voluntary – I am not under any obligation to consent.,I understand that my involvement is strictly confidential. I understand that any research data gathered from the results of the study may be published however no information about me will be used in any way that is identifiable.,I understand that I can withdraw from the study at any time, without affecting my relationship with the researcher(s) or the University of Sydney now or in the future.",5b708f6e42fa7c00011e0d43,Female,23,No,,United States of America,Bachelor's degree in college (4-year),2,4,5,1,3,15,10,10,50,15,70,50,50,90,73,"Laptops are a big wide market and people often need new ones. People don't tend to buy laundry machines as often, and they tend to stick with what they know. The bike seems like a solid idea, but its selling ability might depend on how well our brand is known for producing reliable bikes. (It's a really good price for a bike though.) And the backpack is a super solid product that would be good for camping, biking, and travel - versatile and well-made and likely to sell well for travelers who need a sturdy bag. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
2018-09-12 14:50:53,2018-09-12 15:02:17,IP Address,83.26.218.54,100,684,True,2018-09-12 15:02:18,R_2Tn3WCyK2bLUsgj,,,,,52.239395141602,21.036193847656,anonymous,EN,"The procedures required for the project and the time involved have been explained to me, and any questions I have about the project have been answered to my satisfaction.,I have read the Participant Information Statement and have been given the opportunity to discuss via email the information and my involvement in the project with the researcher/s.,I understand that being in this study is completely voluntary – I am not under any obligation to consent.,I understand that my involvement is strictly confidential. I understand that any research data gathered from the results of the study may be published however no information about me will be used in any way that is identifiable.,I understand that I can withdraw from the study at any time, without affecting my relationship with the researcher(s) or the University of Sydney now or in the future.",5b8aed510c740e00019d13c4,Female,34,Other (please specify),polski,Poland,High school graduate (high school diploma or equivalent),,,,,,,,,,,,,,,,,1,3,5,2,4,43,11,11,23,12,81,30,11,73,30,"Nie jestem do końca pewna w stosunku do Projektu 3, ponieważ produkt ma bardzo dobre podzespoły, oraz parametry jednak jego wartość w tym przypadku jest niska. Co do pozostałych projektów, jestem pewna. Produkty mają dobre parametry, ich wartość jest na wysokim poziomie. W takie projekty chętnie bym inwestowała.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2
2018-09-12 14:58:45,2018-09-12 15:04:36,IP Address,24.84.37.243,100,351,True,2018-09-12 15:04:36,R_2YPJU89TGReB0tg,,,,,49.255096435547,-123.06669616699,anonymous,EN,"The procedures required for the project and the time involved have been explained to me, and any questions I have about the project have been answered to my satisfaction.,I have read the Participant Information Statement and have been given the opportunity to discuss via email the information and my involvement in the project with the researcher/s.,I understand that being in this study is completely voluntary – I am not under any obligation to consent.,I understand that my involvement is strictly confidential. I understand that any research data gathered from the results of the study may be published however no information about me will be used in any way that is identifiable.,I understand that I can withdraw from the study at any time, without affecting my relationship with the researcher(s) or the University of Sydney now or in the future.",5b7f2e9502a73300018393e3,Male,29,No,,Canada,Associate degree in college (2-year),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1,2,3,4,41,19,20,10,10,87,55,59,73,89,"Project 2 for washing machine will take the most funds and resources.

Mountain bike(project 3) and Laptop(project 4) will take a reasonable amount of resources and funds.

Backpack(project 5) and Shampoo(project 1) should be allocated to the least amount of funds and resources as they will make the least amount of profit.",,,,,,,,,,,,,,,,,3,1
2018-09-12 14:57:55,2018-09-12 15:06:51,IP Address,97.70.68.248,100,535,True,2018-09-12 15:06:52,R_28NYRIzesuqWKGh,,,,,42.506500244141,-83.349098205566,anonymous,EN,"The procedures required for the project and the time involved have been explained to me, and any questions I have about the project have been answered to my satisfaction.,I have read the Participant Information Statement and have been given the opportunity to discuss via email the information and my involvement in the project with the researcher/s.,I understand that being in this study is completely voluntary – I am not under any obligation to consent.,I understand that my involvement is strictly confidential. I understand that any research data gathered from the results of the study may be published however no information about me will be used in any way that is identifiable.,I understand that I can withdraw from the study at any time, without affecting my relationship with the researcher(s) or the University of Sydney now or in the future.",5b95a8e1edc23700014de6c1,Female,27,Other (please specify),urdu,United States of America,Master's degree,,,,,,,,,,,,,,,,,3,4,5,2,1,18,26,10,16,30,61,50,50,62,49,project 4 has highest NPV means greater profit chances however as the NPV increases the price of product also increases. Consumer probably will not pay such high price for project  1 and 2 but project5 price is perfect from consumer perspective. not only it offers high end spec but also at a nominal price,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2
