StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q83,Q79,Q75,Q85,Q85_10_TEXT,Q82,Q77,project1_1,project1_2,project1_3,project1_6,project1_7,project1_4,project1_5,project1_8,project1_9,project1_10,project1_11,project2_1,project2_2,project2_3,project2_6,project2_7,project2_4,project2_5,project2_8,project2_9,project2_10,project2_11,project3_1,project3_2,project3_3,project3_6,project3_7,project3_4,project3_5,project3_8,project3_9,project3_10,project3_11,project4_1,project4_2,project4_3,project4_6,project4_7,project4_4,project4_5,project4_8,project4_9,project4_10,project4_11,project5_1,project5_2,project5_3,project5_6,project5_7,project5_4,project5_5,project5_8,project5_9,project5_10,project5_11,Q133,npvCond,alignCond,Q85_10_TEXT - Topics
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"PARTICIPANT CONSENT FORM By selecting each box below, I agree to take part in this research study. I give consent to my participation in the research project 
















Project Name: Business
decision making

 In giving my consent I acknowledge that:",What is your sex?,What is your age in years?,Do you speak a language other than English at home? - Selected Choice,Do you speak a language other than English at home? - Other (please specify) - Text,List of Countries,How many years of experience do you have in investing?,Imagine that you have 100 points to assign to the following options for Project 1's rate of return on investment after one year. Assign points according to how likely you think each rate of return is. - more than 9%,Imagine that you have 100 points to assign to the following options for Project 1's rate of return on investment after one year. Assign points according to how likely you think each rate of return is. - 7% to 9%,Imagine that you have 100 points to assign to the following options for Project 1's rate of return on investment after one year. Assign points according to how likely you think each rate of return is. - 5% to 7%,Imagine that you have 100 points to assign to the following options for Project 1's rate of return on investment after one year. Assign points according to how likely you think each rate of return is. - 3% to 5%,Imagine that you have 100 points to assign to the following options for Project 1's rate of return on investment after one year. Assign points according to how likely you think each rate of return is. - 1% to 3%,Imagine that you have 100 points to assign to the following options for Project 1's rate of return on investment after one year. Assign points according to how likely you think each rate of return is. - -1% to 1%,Imagine that you have 100 points to assign to the following options for Project 1's rate of return on investment after one year. Assign points according to how likely you think each rate of return is. - -3% to -1%,Imagine that you have 100 points to assign to the following options for Project 1's rate of return on investment after one year. Assign points according to how likely you think each rate of return is. - -5% to -3%,Imagine that you have 100 points to assign to the following options for Project 1's rate of return on investment after one year. Assign points according to how likely you think each rate of return is. - -7% to -5%,Imagine that you have 100 points to assign to the following options for Project 1's rate of return on investment after one year. Assign points according to how likely you think each rate of return is. - -9% to -7%,Imagine that you have 100 points to assign to the following options for Project 1's rate of return on investment after one year. Assign points according to how likely you think each rate of return is. - less than -9%,Imagine that you have 100 points to assign to the following options for Project 2's rate of return on investment after one year. Assign points according to how likely you think each rate of return is. - more than 9%,Imagine that you have 100 points to assign to the following options for Project 2's rate of return on investment after one year. Assign points according to how likely you think each rate of return is. - 7% to 9%,Imagine that you have 100 points to assign to the following options for Project 2's rate of return on investment after one year. Assign points according to how likely you think each rate of return is. - 5% to 7%,Imagine that you have 100 points to assign to the following options for Project 2's rate of return on investment after one year. Assign points according to how likely you think each rate of return is. - 3% to 5%,Imagine that you have 100 points to assign to the following options for Project 2's rate of return on investment after one year. Assign points according to how likely you think each rate of return is. - 1% to 3%,Imagine that you have 100 points to assign to the following options for Project 2's rate of return on investment after one year. Assign points according to how likely you think each rate of return is. - -1% to 1%,Imagine that you have 100 points to assign to the following options for Project 2's rate of return on investment after one year. Assign points according to how likely you think each rate of return is. - -3% to -1%,Imagine that you have 100 points to assign to the following options for Project 2's rate of return on investment after one year. Assign points according to how likely you think each rate of return is. - -5% to -3%,Imagine that you have 100 points to assign to the following options for Project 2's rate of return on investment after one year. Assign points according to how likely you think each rate of return is. - -7% to -5%,Imagine that you have 100 points to assign to the following options for Project 2's rate of return on investment after one year. Assign points according to how likely you think each rate of return is. - -9% to -7%,Imagine that you have 100 points to assign to the following options for Project 2's rate of return on investment after one year. Assign points according to how likely you think each rate of return is. - less than -9%,Imagine that you have 100 points to assign to the following options for Project 3's rate of return on investment after one year. Assign points according to how likely you think each rate of return is. - more than 9%,Imagine that you have 100 points to assign to the following options for Project 3's rate of return on investment after one year. Assign points according to how likely you think each rate of return is. - 7% to 9%,Imagine that you have 100 points to assign to the following options for Project 3's rate of return on investment after one year. Assign points according to how likely you think each rate of return is. - 5% to 7%,Imagine that you have 100 points to assign to the following options for Project 3's rate of return on investment after one year. Assign points according to how likely you think each rate of return is. - 3% to 5%,Imagine that you have 100 points to assign to the following options for Project 3's rate of return on investment after one year. Assign points according to how likely you think each rate of return is. - 1% to 3%,Imagine that you have 100 points to assign to the following options for Project 3's rate of return on investment after one year. Assign points according to how likely you think each rate of return is. - -1% to 1%,Imagine that you have 100 points to assign to the following options for Project 3's rate of return on investment after one year. Assign points according to how likely you think each rate of return is. - -3% to -1%,Imagine that you have 100 points to assign to the following options for Project 3's rate of return on investment after one year. Assign points according to how likely you think each rate of return is. - -5% to -3%,Imagine that you have 100 points to assign to the following options for Project 3's rate of return on investment after one year. Assign points according to how likely you think each rate of return is. - -7% to -5%,Imagine that you have 100 points to assign to the following options for Project 3's rate of return on investment after one year. Assign points according to how likely you think each rate of return is. - -9% to -7%,Imagine that you have 100 points to assign to the following options for Project 3's rate of return on investment after one year. Assign points according to how likely you think each rate of return is. - less than -9%,Imagine that you have 100 points to assign to the following options for Project 4's rate of return on investment after one year. Assign points according to how likely you think each rate of return is. - more than 9%,Imagine that you have 100 points to assign to the following options for Project 4's rate of return on investment after one year. Assign points according to how likely you think each rate of return is. - 7% to 9%,Imagine that you have 100 points to assign to the following options for Project 4's rate of return on investment after one year. Assign points according to how likely you think each rate of return is. - 5% to 7%,Imagine that you have 100 points to assign to the following options for Project 4's rate of return on investment after one year. Assign points according to how likely you think each rate of return is. - 3% to 5%,Imagine that you have 100 points to assign to the following options for Project 4's rate of return on investment after one year. Assign points according to how likely you think each rate of return is. - 1% to 3%,Imagine that you have 100 points to assign to the following options for Project 4's rate of return on investment after one year. Assign points according to how likely you think each rate of return is. - -1% to 1%,Imagine that you have 100 points to assign to the following options for Project 4's rate of return on investment after one year. Assign points according to how likely you think each rate of return is. - -3% to -1%,Imagine that you have 100 points to assign to the following options for Project 4's rate of return on investment after one year. Assign points according to how likely you think each rate of return is. - -5% to -3%,Imagine that you have 100 points to assign to the following options for Project 4's rate of return on investment after one year. Assign points according to how likely you think each rate of return is. - -7% to -5%,Imagine that you have 100 points to assign to the following options for Project 4's rate of return on investment after one year. Assign points according to how likely you think each rate of return is. - -9% to -7%,Imagine that you have 100 points to assign to the following options for Project 4's rate of return on investment after one year. Assign points according to how likely you think each rate of return is. - less than -9%,Imagine that you have 100 points to assign to the following options for Project 5's rate of return on investment after one year. Assign points according to how likely you think each rate of return is. - more than 9%,Imagine that you have 100 points to assign to the following options for Project 5's rate of return on investment after one year. Assign points according to how likely you think each rate of return is. - 7% to 9%,Imagine that you have 100 points to assign to the following options for Project 5's rate of return on investment after one year. Assign points according to how likely you think each rate of return is. - 5% to 7%,Imagine that you have 100 points to assign to the following options for Project 5's rate of return on investment after one year. Assign points according to how likely you think each rate of return is. - 3% to 5%,Imagine that you have 100 points to assign to the following options for Project 5's rate of return on investment after one year. Assign points according to how likely you think each rate of return is. - 1% to 3%,Imagine that you have 100 points to assign to the following options for Project 5's rate of return on investment after one year. Assign points according to how likely you think each rate of return is. - -1% to 1%,Imagine that you have 100 points to assign to the following options for Project 5's rate of return on investment after one year. Assign points according to how likely you think each rate of return is. - -3% to -1%,Imagine that you have 100 points to assign to the following options for Project 5's rate of return on investment after one year. Assign points according to how likely you think each rate of return is. - -5% to -3%,Imagine that you have 100 points to assign to the following options for Project 5's rate of return on investment after one year. Assign points according to how likely you think each rate of return is. - -7% to -5%,Imagine that you have 100 points to assign to the following options for Project 5's rate of return on investment after one year. Assign points according to how likely you think each rate of return is. - -9% to -7%,Imagine that you have 100 points to assign to the following options for Project 5's rate of return on investment after one year. Assign points according to how likely you think each rate of return is. - less than -9%,What is your reddit username?,npvCond,alignCond,Q85_10_TEXT - Topics
"{""ImportId"":""startDate"",""timeZone"":""Australia/Canberra""}","{""ImportId"":""endDate"",""timeZone"":""Australia/Canberra""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Australia/Canberra""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID83""}","{""ImportId"":""QID76""}","{""ImportId"":""QID74_TEXT""}","{""ImportId"":""QID80""}","{""ImportId"":""QID80_10_TEXT""}","{""ImportId"":""QID78""}","{""ImportId"":""QID75""}","{""ImportId"":""QID127_1""}","{""ImportId"":""QID127_2""}","{""ImportId"":""QID127_3""}","{""ImportId"":""QID127_6""}","{""ImportId"":""QID127_7""}","{""ImportId"":""QID127_4""}","{""ImportId"":""QID127_5""}","{""ImportId"":""QID127_8""}","{""ImportId"":""QID127_9""}","{""ImportId"":""QID127_10""}","{""ImportId"":""QID127_11""}","{""ImportId"":""QID129_1""}","{""ImportId"":""QID129_2""}","{""ImportId"":""QID129_3""}","{""ImportId"":""QID129_6""}","{""ImportId"":""QID129_7""}","{""ImportId"":""QID129_4""}","{""ImportId"":""QID129_5""}","{""ImportId"":""QID129_8""}","{""ImportId"":""QID129_9""}","{""ImportId"":""QID129_10""}","{""ImportId"":""QID129_11""}","{""ImportId"":""QID130_1""}","{""ImportId"":""QID130_2""}","{""ImportId"":""QID130_3""}","{""ImportId"":""QID130_6""}","{""ImportId"":""QID130_7""}","{""ImportId"":""QID130_4""}","{""ImportId"":""QID130_5""}","{""ImportId"":""QID130_8""}","{""ImportId"":""QID130_9""}","{""ImportId"":""QID130_10""}","{""ImportId"":""QID130_11""}","{""ImportId"":""QID131_1""}","{""ImportId"":""QID131_2""}","{""ImportId"":""QID131_3""}","{""ImportId"":""QID131_6""}","{""ImportId"":""QID131_7""}","{""ImportId"":""QID131_4""}","{""ImportId"":""QID131_5""}","{""ImportId"":""QID131_8""}","{""ImportId"":""QID131_9""}","{""ImportId"":""QID131_10""}","{""ImportId"":""QID131_11""}","{""ImportId"":""QID132_1""}","{""ImportId"":""QID132_2""}","{""ImportId"":""QID132_3""}","{""ImportId"":""QID132_6""}","{""ImportId"":""QID132_7""}","{""ImportId"":""QID132_4""}","{""ImportId"":""QID132_5""}","{""ImportId"":""QID132_8""}","{""ImportId"":""QID132_9""}","{""ImportId"":""QID132_10""}","{""ImportId"":""QID132_11""}","{""ImportId"":""QID133_TEXT""}","{""ImportId"":""npvCond""}","{""ImportId"":""alignCond""}","{""ImportId"":""QID80_10_TEXT_7d88fd5e4bd94c7a9a86d81bTopics""}"
2019-01-08 15:41:46,2019-01-08 15:44:39,Survey Preview,,100,173,True,2019-01-08 15:44:40,R_3ijONjLyFCOAV5c,,,,,-33.8612060546875,151.198211669921875,preview,EN,"The procedures required for the project and the time involved have been explained to me, and any questions I have about the project have been answered to my satisfaction.,I have read the Participant Information Statement and have been given the opportunity to discuss via email the information and my involvement in the project with the researcher/s.,I understand that being in this study is completely voluntary – I am not under any obligation to consent.,I understand that my involvement is strictly confidential. I understand that any research data gathered from the results of the study may be published however no information about me will be used in any way that is identifiable.,I understand that I can withdraw from the study at any time, without affecting my relationship with the researcher(s) or the University of Sydney now or in the future.",Male,11,Hebrew,,Australia,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
2019-01-08 15:53:39,2019-01-08 15:53:59,Survey Preview,,100,20,True,2019-01-08 15:53:59,R_1DBTHY0KjoGtQqz,,,,,-33.8612060546875,151.198211669921875,preview,EN,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
2019-01-13 15:02:03,2019-01-13 15:02:03,Survey Preview,,100,0,True,2019-01-13 15:02:03,R_3Mn6JKnZOoeiwOt,,,,,-33.8612060546875,151.198211669921875,preview,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,12,
2019-01-13 15:02:09,2019-01-13 15:02:09,Survey Preview,,100,0,True,2019-01-13 15:02:10,R_1ONoxCRgUWdoV5v,,,,,-33.8612060546875,151.198211669921875,preview,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,11,
2019-01-13 15:02:52,2019-01-13 15:02:52,Survey Preview,,100,0,True,2019-01-13 15:02:52,R_OduFk8lDZ9czCDf,,,,,-33.8612060546875,151.198211669921875,preview,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,11,
2019-01-08 15:52:12,2019-01-08 15:53:31,IP Address,129.78.56.184,3,78,False,2019-01-15 15:53:51,R_2dRd86DCafFD6Wv,,,,,,,anonymous,EN,"The procedures required for the project and the time involved have been explained to me, and any questions I have about the project have been answered to my satisfaction.,I have read the Participant Information Statement and have been given the opportunity to discuss via email the information and my involvement in the project with the researcher/s.,I understand that being in this study is completely voluntary – I am not under any obligation to consent.,I understand that my involvement is strictly confidential. I understand that any research data gathered from the results of the study may be published however no information about me will be used in any way that is identifiable.,I understand that I can withdraw from the study at any time, without affecting my relationship with the researcher(s) or the University of Sydney now or in the future.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-09 07:39:54,2019-01-09 07:41:00,IP Address,174.138.193.255,10,66,False,2019-01-16 07:41:41,R_3MlFq8HfOshDGPH,,,,,,,anonymous,EN,"The procedures required for the project and the time involved have been explained to me, and any questions I have about the project have been answered to my satisfaction.,I have read the Participant Information Statement and have been given the opportunity to discuss via email the information and my involvement in the project with the researcher/s.,I understand that being in this study is completely voluntary – I am not under any obligation to consent.,I understand that my involvement is strictly confidential. I understand that any research data gathered from the results of the study may be published however no information about me will be used in any way that is identifiable.,I understand that I can withdraw from the study at any time, without affecting my relationship with the researcher(s) or the University of Sydney now or in the future.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-16 16:03:35,2019-01-16 16:04:22,Survey Preview,,100,47,True,2019-01-16 16:04:23,R_1qW0okkkD3a8QQ2,,,,,-33.8612060546875,151.198211669921875,preview,EN,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2,1,
