view_history,rt,stage,trial_type,trial_index,time_elapsed,internal_node_id,subject,thesis_project,experiment,sample,similarity,distribution,awareness,presentation,project_variation,current_project_choice_order,PROLIFIC_PID,STUDY_ID,SESSION_ID,responses,current_response,question_order,stimulus,button_pressed,dateCreated
"[{""page_index"":0,""viewing_time"":56.43021500000245}]",56.803694000002736,welcome,instructions,0,59,0.0-0.0-0.0,jrxns3qnzmxk7wt,aggregation,experiment4,prolific,low,absent,naive,separate,1,21,NA,NA,NA,NA,NA,NA,NA,NA,02/09/2020 09:45:48
NA,353.5739249999991,id,survey-html-form,1,415,0.0-0.0-1.0-0.0,jrxns3qnzmxk7wt,aggregation,experiment4,prolific,low,absent,naive,separate,1,21,NA,NA,NA,"{""prolific"":""test12344186953454613873""}",NA,NA,NA,NA,02/09/2020 09:45:48
NA,654.7854229999998,contact,survey-html-form,2,1076,0.0-0.0-1.0-1.0,jrxns3qnzmxk7wt,aggregation,experiment4,prolific,low,absent,naive,separate,1,21,NA,NA,NA,"{""contact"":""no"",""address"":""test12342128128618754427""}",NA,NA,NA,NA,02/09/2020 09:45:48
NA,1097.6249490000002,demographics,survey-html-form,3,2182,0.0-0.0-1.0-2.0,jrxns3qnzmxk7wt,aggregation,experiment4,prolific,low,absent,naive,separate,1,21,NA,NA,NA,"{""sex"":""female"",""age"":""49"",""language"":""Italian"",""language_other"":"""",""business_edu"":""45"",""business_exp"":""13"",""current"":""yes""}",yes,NA,NA,NA,02/09/2020 09:45:48
NA,1802.788306,business_information,survey-html-form,4,3988,0.0-0.0-1.0-3.0-0.0,jrxns3qnzmxk7wt,aggregation,experiment4,prolific,low,absent,naive,separate,1,21,NA,NA,NA,"{""company_name"":""test12344192316781586897"",""sector"":""Pharmaceuticals, Medical Products & Equipment"",""sector_other"":"""",""employees"":""1893145"",""revenue"":""450706"",""role_company"":""Business Leader"",""role_company_other"":"""",""role_allocation"":""Provide information and analysis for the decision-makers at line of business level"",""role_allocation_other"":"""",""budget"":""597568""}",NA,NA,NA,NA,02/09/2020 09:45:48
"[{""page_index"":0,""viewing_time"":61.896193999999014},{""page_index"":1,""viewing_time"":59.58072799999991},{""page_index"":2,""viewing_time"":70.51857000000109}]",192.22312799999781,instructions,instructions,5,4180,0.0-0.0-2.0-0.0-0.0,jrxns3qnzmxk7wt,aggregation,experiment4,prolific,low,absent,naive,separate,1,21,NA,NA,NA,NA,NA,NA,NA,NA,02/09/2020 09:45:48
NA,256.3563490000015,project_choice,survey-multi-choice,6,4439,0.0-0.0-2.0-2.0-0.0-0.0-0.0,jrxns3qnzmxk7wt,aggregation,experiment4,prolific,low,absent,naive,separate,1,21,NA,NA,NA,"{""oil-well_offshore-Abu-Dhabi-UAE_125_240_0.55"":""Yes""}",NA,[0],NA,NA,02/09/2020 09:45:48
NA,230.54634400000032,project_choice,survey-multi-choice,7,4696,0.0-0.0-2.0-2.0-0.0-0.0-0.1,jrxns3qnzmxk7wt,aggregation,experiment4,prolific,low,absent,naive,separate,1,21,NA,NA,NA,"{""microchip_car-controls_125_240_0.6"":""Yes""}",NA,[0],NA,NA,02/09/2020 09:45:48
NA,229.32887000000028,project_choice,survey-multi-choice,8,4928,0.0-0.0-2.0-2.0-0.0-0.0-0.2,jrxns3qnzmxk7wt,aggregation,experiment4,prolific,low,absent,naive,separate,1,21,NA,NA,NA,"{""record-deal_soul_190_240_0.35"":""No""}",NA,[0],NA,NA,02/09/2020 09:45:48
NA,257.39257700000144,project_choice,survey-multi-choice,9,5188,0.0-0.0-2.0-2.0-0.0-0.0-0.3,jrxns3qnzmxk7wt,aggregation,experiment4,prolific,low,absent,naive,separate,1,21,NA,NA,NA,"{""shipping-logistics_liquor_185_240_0.4"":""Yes""}",NA,[0],NA,NA,02/09/2020 09:45:48
NA,240.1219459999984,project_choice,survey-multi-choice,10,5430,0.0-0.0-2.0-2.0-0.0-0.0-0.4,jrxns3qnzmxk7wt,aggregation,experiment4,prolific,low,absent,naive,separate,1,21,NA,NA,NA,"{""restaurant-chain_thai_155_240_0.45"":""No""}",NA,[0],NA,NA,02/09/2020 09:45:48
NA,257.24894200000017,project_choice,survey-multi-choice,11,5690,0.0-0.0-2.0-2.0-0.0-0.0-0.5,jrxns3qnzmxk7wt,aggregation,experiment4,prolific,low,absent,naive,separate,1,21,NA,NA,NA,"{""national-newspaper_Christian-topics_175_240_0.3"":""Yes""}",NA,[0],NA,NA,02/09/2020 09:45:48
NA,273.10052800000085,project_choice,survey-multi-choice,12,5965,0.0-0.0-2.0-2.0-0.0-0.0-0.6,jrxns3qnzmxk7wt,aggregation,experiment4,prolific,low,absent,naive,separate,1,21,NA,NA,NA,"{""pharmaceutical_Hunter-syndrome_135_240_0.6"":""Yes""}",NA,[0],NA,NA,02/09/2020 09:45:48
NA,269.1876530000027,project_choice,survey-multi-choice,13,6237,0.0-0.0-2.0-2.0-0.0-0.0-0.7,jrxns3qnzmxk7wt,aggregation,experiment4,prolific,low,absent,naive,separate,1,21,NA,NA,NA,"{""railway_West-Java-Indonesia_120_240_0.6"":""No""}",NA,[0],NA,NA,02/09/2020 09:45:48
NA,244.51039799999944,project_choice,survey-multi-choice,14,6483,0.0-0.0-2.0-2.0-0.0-0.0-0.8,jrxns3qnzmxk7wt,aggregation,experiment4,prolific,low,absent,naive,separate,1,21,NA,NA,NA,"{""GMO_corn-crop-with-faster-maturation_175_240_0.45"":""No""}",NA,[0],NA,NA,02/09/2020 09:45:48
NA,267.69256799999766,project_choice,survey-multi-choice,15,6753,0.0-0.0-2.0-2.0-0.0-0.0-0.9,jrxns3qnzmxk7wt,aggregation,experiment4,prolific,low,absent,naive,separate,1,21,NA,NA,NA,"{""high-rise-construction_25-infilled-frame_100_240_0.75"":""No""}",NA,[0],NA,NA,02/09/2020 09:45:48
NA,238.0234309999987,project_choice,survey-multi-choice,16,6993,0.0-0.0-2.0-2.0-0.0-0.0-0.10,jrxns3qnzmxk7wt,aggregation,experiment4,prolific,low,absent,naive,separate,1,21,NA,NA,NA,"{""oil-well_onshore-Stavanger-Norway_135_240_0.55"":""No""}",NA,[0],NA,NA,02/09/2020 09:45:48
NA,227.109948000003,project_choice,survey-multi-choice,17,7225,0.0-0.0-2.0-2.0-0.0-0.0-0.11,jrxns3qnzmxk7wt,aggregation,experiment4,prolific,low,absent,naive,separate,1,21,NA,NA,NA,"{""microchip_military-communication_150_240_0.45"":""No""}",NA,[0],NA,NA,02/09/2020 09:45:48
NA,394.0437060000013,project_choice,survey-multi-choice,18,7622,0.0-0.0-2.0-2.0-0.0-0.0-0.12,jrxns3qnzmxk7wt,aggregation,experiment4,prolific,low,absent,naive,separate,1,21,NA,NA,NA,"{""record-deal_pop_115_240_0.55"":""No""}",NA,[0],NA,NA,02/09/2020 09:45:48
NA,258.24529099999836,project_choice,survey-multi-choice,19,7882,0.0-0.0-2.0-2.0-0.0-0.0-0.13,jrxns3qnzmxk7wt,aggregation,experiment4,prolific,low,absent,naive,separate,1,21,NA,NA,NA,"{""shipping-logistics_artwork_180_240_0.35"":""No""}",NA,[0],NA,NA,02/09/2020 09:45:48
NA,364.25248700000157,project_choice,survey-multi-choice,20,8248,0.0-0.0-2.0-2.0-0.0-0.0-0.14,jrxns3qnzmxk7wt,aggregation,experiment4,prolific,low,absent,naive,separate,1,21,NA,NA,NA,"{""restaurant-chain_sushi_145_240_0.55"":""No""}",NA,[0],NA,NA,02/09/2020 09:45:48
NA,328.85949099999925,project_choice,survey-multi-choice,21,8580,0.0-0.0-2.0-2.0-0.0-0.0-0.15,jrxns3qnzmxk7wt,aggregation,experiment4,prolific,low,absent,naive,separate,1,21,NA,NA,NA,"{""national-newspaper_sport_195_240_0.3"":""Yes""}",NA,[0],NA,NA,02/09/2020 09:45:48
NA,232.61240500000167,project_choice,survey-multi-choice,22,8816,0.0-0.0-2.0-2.0-0.0-0.0-0.16,jrxns3qnzmxk7wt,aggregation,experiment4,prolific,low,absent,naive,separate,1,21,NA,NA,NA,"{""pharmaceutical_pneumonia_115_240_0.7"":""No""}",NA,[0],NA,NA,02/09/2020 09:45:48
NA,269.3180669999965,project_choice,survey-multi-choice,23,9088,0.0-0.0-2.0-2.0-0.0-0.0-0.17,jrxns3qnzmxk7wt,aggregation,experiment4,prolific,low,absent,naive,separate,1,21,NA,NA,NA,"{""railway_Kano-State-Nigera_105_240_0.65"":""No""}",NA,[0],NA,NA,02/09/2020 09:45:48
NA,259.5792820000006,project_choice,survey-multi-choice,24,9351,0.0-0.0-2.0-2.0-0.0-0.0-0.18,jrxns3qnzmxk7wt,aggregation,experiment4,prolific,low,absent,naive,separate,1,21,NA,NA,NA,"{""GMO_insect-resistant-persimmon_165_240_0.45"":""Yes""}",NA,[0],NA,NA,02/09/2020 09:45:48
NA,296.51454399999966,project_choice,survey-multi-choice,25,9650,0.0-0.0-2.0-2.0-0.0-0.0-0.19,jrxns3qnzmxk7wt,aggregation,experiment4,prolific,low,absent,naive,separate,1,21,NA,NA,NA,"{""high-rise-construction_40-wall-frame_105_240_0.7"":""Yes""}",NA,[0],NA,NA,02/09/2020 09:45:48
NA,221.2675700000018,project_expectation,survey-html-form,26,9874,0.0-0.0-3.0-0.0,jrxns3qnzmxk7wt,aggregation,experiment4,prolific,low,absent,naive,separate,1,21,NA,NA,NA,"{""project_expectation"":""53""}",NA,NA,NA,NA,02/09/2020 09:45:48
NA,188.0588459999999,project_number,survey-html-form,27,10062,0.0-0.0-3.0-1.0,jrxns3qnzmxk7wt,aggregation,experiment4,prolific,low,absent,naive,separate,1,21,NA,NA,NA,"{""project_number"":""40""}",NA,NA,NA,NA,02/09/2020 09:45:48
NA,158.83210299999882,portfolio_binary,html-button-response,28,10222,0.0-0.0-3.0-2.0-0.0,jrxns3qnzmxk7wt,aggregation,experiment4,prolific,low,absent,naive,separate,1,21,NA,NA,NA,NA,NA,NA,"<p>
  <strong>Consider all the projects you saw. If you had to choose between investing in all of them, or investing in none of them, which would you choose?</strong>
</p>",1,02/09/2020 09:45:48
NA,274.2961329999998,portfolio_number,survey-html-form,29,10497,0.0-0.0-3.0-3.0-0.0,jrxns3qnzmxk7wt,aggregation,experiment4,prolific,low,absent,naive,separate,1,21,NA,NA,NA,"{""portfolio_number"":""12""}",NA,NA,NA,NA,02/09/2020 09:45:48
"[{""page_index"":0,""viewing_time"":81.69587100000172},{""page_index"":1,""viewing_time"":62.60603199999787}]",144.51693100000193,debrief,instructions,30,10642,0.0-0.0-3.0-4.0,jrxns3qnzmxk7wt,aggregation,experiment4,prolific,low,absent,naive,separate,1,21,NA,NA,NA,NA,NA,NA,NA,NA,02/09/2020 09:45:48
