view_history,rt,stage,trial_type,trial_index,time_elapsed,internal_node_id,subject,thesis_project,experiment,sample,similarity,distribution,awareness,presentation,project_variation,current_project_choice_order,PROLIFIC_PID,STUDY_ID,SESSION_ID,responses,current_response,question_order,stimulus,button_pressed,dateCreated
"[{""page_index"":0,""viewing_time"":46.52901800000109}]",46.79417100001615,welcome,instructions,0,48,0.0-0.0-0.0,vztf93lwwwny0v3,aggregation,experiment4,prolific,low,absent,aware,separate,3,21,NA,NA,NA,NA,NA,NA,NA,NA,02/09/2020 09:48:27
NA,398.3148080000092,id,survey-html-form,1,448,0.0-0.0-1.0-0.0,vztf93lwwwny0v3,aggregation,experiment4,prolific,low,absent,aware,separate,3,21,NA,NA,NA,"{""prolific"":""test12346847862149967541""}",NA,NA,NA,NA,02/09/2020 09:48:27
NA,609.8803189999842,contact,survey-html-form,2,1059,0.0-0.0-1.0-1.0,vztf93lwwwny0v3,aggregation,experiment4,prolific,low,absent,aware,separate,3,21,NA,NA,NA,"{""contact"":""yes"",""address"":""test12341879984182172227""}",NA,NA,NA,NA,02/09/2020 09:48:27
NA,1013.2634100000073,demographics,survey-html-form,3,2074,0.0-0.0-1.0-2.0,vztf93lwwwny0v3,aggregation,experiment4,prolific,low,absent,aware,separate,3,21,NA,NA,NA,"{""sex"":""female"",""age"":""49"",""language"":""Italian"",""language_other"":"""",""business_edu"":""62"",""business_exp"":""2"",""current"":""no""}",no,NA,NA,NA,02/09/2020 09:48:27
"[{""page_index"":0,""viewing_time"":72.85206799997468},{""page_index"":1,""viewing_time"":106.49736100000973},{""page_index"":2,""viewing_time"":66.02136000000792}]",245.5545929999803,instructions,instructions,4,2320,0.0-0.0-2.0-1.0-0.0,vztf93lwwwny0v3,aggregation,experiment4,prolific,low,absent,aware,separate,3,21,NA,NA,NA,NA,NA,NA,NA,NA,02/09/2020 09:48:27
NA,325.7732179999948,project_choice,survey-multi-choice,5,2649,0.0-0.0-2.0-14.0-0.0-0.0-0.0,vztf93lwwwny0v3,aggregation,experiment4,prolific,low,absent,aware,separate,3,21,NA,NA,NA,"{""oil-well_offshore-Kuala-Lumpur-Malaysia_125_240_0.55"":""Yes""}",NA,[0],NA,NA,02/09/2020 09:48:27
NA,388.35381699999516,project_choice,survey-multi-choice,6,3041,0.0-0.0-2.0-14.0-0.0-0.0-0.1,vztf93lwwwny0v3,aggregation,experiment4,prolific,low,absent,aware,separate,3,21,NA,NA,NA,"{""microchip_smartphone_125_240_0.6"":""Yes""}",NA,[0],NA,NA,02/09/2020 09:48:27
NA,356.39952900001526,project_choice,survey-multi-choice,7,3401,0.0-0.0-2.0-14.0-0.0-0.0-0.2,vztf93lwwwny0v3,aggregation,experiment4,prolific,low,absent,aware,separate,3,21,NA,NA,NA,"{""record-deal_classical_190_240_0.35"":""Yes""}",NA,[0],NA,NA,02/09/2020 09:48:27
NA,243.53758099999823,project_choice,survey-multi-choice,8,3646,0.0-0.0-2.0-14.0-0.0-0.0-0.3,vztf93lwwwny0v3,aggregation,experiment4,prolific,low,absent,aware,separate,3,21,NA,NA,NA,"{""shipping-logistics_wheat_185_240_0.4"":""No""}",NA,[0],NA,NA,02/09/2020 09:48:27
NA,253.10001400001192,project_choice,survey-multi-choice,9,3901,0.0-0.0-2.0-14.0-0.0-0.0-0.4,vztf93lwwwny0v3,aggregation,experiment4,prolific,low,absent,aware,separate,3,21,NA,NA,NA,"{""restaurant-chain_burger_155_240_0.45"":""Yes""}",NA,[0],NA,NA,02/09/2020 09:48:27
