view_history,rt,stage,trial_type,trial_index,time_elapsed,internal_node_id,subject,thesis_project,experiment,sample,similarity,distribution,awareness,presentation,project_variation,current_project_choice_order,PROLIFIC_PID,STUDY_ID,SESSION_ID,responses,current_response,question_order,stimulus,button_pressed,dateCreated
"[{""page_index"":0,""viewing_time"":43.83037699999903}]",44.17953200000113,welcome,instructions,0,45,0.0-0.0-0.0,bd6k9f0q77pefbt,aggregation,experiment4,prolific,low,absent,aware,separate,3,21,NA,NA,NA,NA,NA,NA,NA,NA,02/09/2020 09:45:57
NA,176.08430299999966,id,survey-html-form,1,223,0.0-0.0-1.0-0.0,bd6k9f0q77pefbt,aggregation,experiment4,prolific,low,absent,aware,separate,3,21,NA,NA,NA,"{""prolific"":""test12341459845487193843""}",NA,NA,NA,NA,02/09/2020 09:45:57
NA,514.5059749999987,contact,survey-html-form,2,738,0.0-0.0-1.0-1.0,bd6k9f0q77pefbt,aggregation,experiment4,prolific,low,absent,aware,separate,3,21,NA,NA,NA,"{""contact"":""no"",""address"":""test12347853751419696343""}",NA,NA,NA,NA,02/09/2020 09:45:57
NA,1259.5317299999992,demographics,survey-html-form,3,1999,0.0-0.0-1.0-2.0,bd6k9f0q77pefbt,aggregation,experiment4,prolific,low,absent,aware,separate,3,21,NA,NA,NA,"{""sex"":""male"",""age"":""31"",""language"":""Korean"",""language_other"":"""",""business_edu"":""59"",""business_exp"":""50"",""current"":""no""}",no,NA,NA,NA,02/09/2020 09:45:57
"[{""page_index"":0,""viewing_time"":88.98809699999788},{""page_index"":1,""viewing_time"":113.63968800000293},{""page_index"":2,""viewing_time"":69.80446999999731}]",272.6617349999999,instructions,instructions,4,2272,0.0-0.0-2.0-1.0-0.0,bd6k9f0q77pefbt,aggregation,experiment4,prolific,low,absent,aware,separate,3,21,NA,NA,NA,NA,NA,NA,NA,NA,02/09/2020 09:45:57
NA,291.19491399999833,project_choice,survey-multi-choice,5,2567,0.0-0.0-2.0-14.0-0.0-0.0-0.0,bd6k9f0q77pefbt,aggregation,experiment4,prolific,low,absent,aware,separate,3,21,NA,NA,NA,"{""oil-well_offshore-Kuala-Lumpur-Malaysia_125_240_0.55"":""Yes""}",NA,[0],NA,NA,02/09/2020 09:45:57
NA,305.7754710000004,project_choice,survey-multi-choice,6,2876,0.0-0.0-2.0-14.0-0.0-0.0-0.1,bd6k9f0q77pefbt,aggregation,experiment4,prolific,low,absent,aware,separate,3,21,NA,NA,NA,"{""microchip_smartphone_125_240_0.6"":""Yes""}",NA,[0],NA,NA,02/09/2020 09:45:57
NA,292.25664999999844,project_choice,survey-multi-choice,7,3171,0.0-0.0-2.0-14.0-0.0-0.0-0.2,bd6k9f0q77pefbt,aggregation,experiment4,prolific,low,absent,aware,separate,3,21,NA,NA,NA,"{""record-deal_classical_190_240_0.35"":""No""}",NA,[0],NA,NA,02/09/2020 09:45:57
NA,277.91980699999976,project_choice,survey-multi-choice,8,3451,0.0-0.0-2.0-14.0-0.0-0.0-0.3,bd6k9f0q77pefbt,aggregation,experiment4,prolific,low,absent,aware,separate,3,21,NA,NA,NA,"{""shipping-logistics_wheat_185_240_0.4"":""Yes""}",NA,[0],NA,NA,02/09/2020 09:45:57
NA,399.5845199999976,project_choice,survey-multi-choice,9,3854,0.0-0.0-2.0-14.0-0.0-0.0-0.4,bd6k9f0q77pefbt,aggregation,experiment4,prolific,low,absent,aware,separate,3,21,NA,NA,NA,"{""restaurant-chain_burger_155_240_0.45"":""Yes""}",NA,[0],NA,NA,02/09/2020 09:45:57
