view_history,rt,stage,trial_type,trial_index,time_elapsed,internal_node_id,subject,thesis_project,experiment,sample,similarity,distribution,awareness,presentation,project_variation,current_project_choice_order,PROLIFIC_PID,STUDY_ID,SESSION_ID,responses,current_response,question_order,stimulus,button_pressed,dateCreated
"[{""page_index"":0,""viewing_time"":185.4449049999971}]",186.05651499999,welcome,instructions,0,188,0.0-0.0-0.0,zygzlfjkecl0z1r,aggregation,experiment4,prolific,low,absent,aware,separate,7,21,NA,NA,NA,NA,NA,NA,NA,NA,02/09/2020 09:46:51
NA,208.89716199999953,id,survey-html-form,1,400,0.0-0.0-1.0-0.0,zygzlfjkecl0z1r,aggregation,experiment4,prolific,low,absent,aware,separate,7,21,NA,NA,NA,"{""prolific"":""test12342391181155446783""}",NA,NA,NA,NA,02/09/2020 09:46:51
NA,589.9787250000088,contact,survey-html-form,2,992,0.0-0.0-1.0-1.0,zygzlfjkecl0z1r,aggregation,experiment4,prolific,low,absent,aware,separate,7,21,NA,NA,NA,"{""contact"":""yes"",""address"":""test12347642716551282586""}",NA,NA,NA,NA,02/09/2020 09:46:51
NA,895.6650420000046,demographics,survey-html-form,3,1891,0.0-0.0-1.0-2.0,zygzlfjkecl0z1r,aggregation,experiment4,prolific,low,absent,aware,separate,7,21,NA,NA,NA,"{""sex"":""male"",""age"":""97"",""language"":""Greek"",""language_other"":"""",""business_edu"":""70"",""business_exp"":""3"",""current"":""no""}",no,NA,NA,NA,02/09/2020 09:46:51
"[{""page_index"":0,""viewing_time"":86.54359000000522},{""page_index"":1,""viewing_time"":71.85936199999787},{""page_index"":2,""viewing_time"":77.48919400000887}]",236.07531600001175,instructions,instructions,4,2127,0.0-0.0-2.0-1.0-0.0,zygzlfjkecl0z1r,aggregation,experiment4,prolific,low,absent,aware,separate,7,21,NA,NA,NA,NA,NA,NA,NA,NA,02/09/2020 09:46:51
NA,296.0795939999912,project_choice,survey-multi-choice,5,2427,0.0-0.0-2.0-18.0-0.0-0.0-0.0,zygzlfjkecl0z1r,aggregation,experiment4,prolific,low,absent,aware,separate,7,21,NA,NA,NA,"{""oil-well_onshore-Omsk-Siberia_125_240_0.55"":""No""}",NA,[0],NA,NA,02/09/2020 09:46:51
NA,308.0557520000011,project_choice,survey-multi-choice,6,2738,0.0-0.0-2.0-18.0-0.0-0.0-0.1,zygzlfjkecl0z1r,aggregation,experiment4,prolific,low,absent,aware,separate,7,21,NA,NA,NA,"{""microchip_medical-imaging-machine_125_240_0.6"":""No""}",NA,[0],NA,NA,02/09/2020 09:46:51
NA,314.55161099999896,project_choice,survey-multi-choice,7,3054,0.0-0.0-2.0-18.0-0.0-0.0-0.2,zygzlfjkecl0z1r,aggregation,experiment4,prolific,low,absent,aware,separate,7,21,NA,NA,NA,"{""record-deal_electronic_190_240_0.35"":""No""}",NA,[0],NA,NA,02/09/2020 09:46:51
NA,260.40060200000426,project_choice,survey-multi-choice,8,3317,0.0-0.0-2.0-18.0-0.0-0.0-0.3,zygzlfjkecl0z1r,aggregation,experiment4,prolific,low,absent,aware,separate,7,21,NA,NA,NA,"{""shipping-logistics_flat-screen-TV_185_240_0.4"":""Yes""}",NA,[0],NA,NA,02/09/2020 09:46:51
NA,320.58600000000615,project_choice,survey-multi-choice,9,3640,0.0-0.0-2.0-18.0-0.0-0.0-0.4,zygzlfjkecl0z1r,aggregation,experiment4,prolific,low,absent,aware,separate,7,21,NA,NA,NA,"{""restaurant-chain_seafood_155_240_0.45"":""Yes""}",NA,[0],NA,NA,02/09/2020 09:46:51
NA,281.0359030000027,project_choice,survey-multi-choice,10,3925,0.0-0.0-2.0-18.0-0.0-0.0-0.5,zygzlfjkecl0z1r,aggregation,experiment4,prolific,low,absent,aware,separate,7,21,NA,NA,NA,"{""national-newspaper_current-affairs_175_240_0.3"":""No""}",NA,[0],NA,NA,02/09/2020 09:46:51
NA,261.98498000000836,project_choice,survey-multi-choice,11,4190,0.0-0.0-2.0-18.0-0.0-0.0-0.6,zygzlfjkecl0z1r,aggregation,experiment4,prolific,low,absent,aware,separate,7,21,NA,NA,NA,"{""pharmaceutical_Chronic-lower-respiratory-disease_135_240_0.6"":""Yes""}",NA,[0],NA,NA,02/09/2020 09:46:51
NA,272.0822099999941,project_choice,survey-multi-choice,12,4466,0.0-0.0-2.0-18.0-0.0-0.0-0.7,zygzlfjkecl0z1r,aggregation,experiment4,prolific,low,absent,aware,separate,7,21,NA,NA,NA,"{""railway_Krasnodar-Krai-Russia_120_240_0.6"":""No""}",NA,[0],NA,NA,02/09/2020 09:46:51
NA,247.39649000000009,project_choice,survey-multi-choice,13,4715,0.0-0.0-2.0-18.0-0.0-0.0-0.8,zygzlfjkecl0z1r,aggregation,experiment4,prolific,low,absent,aware,separate,7,21,NA,NA,NA,"{""GMO_sunflower-oil-with-healthier-fatty-acid-composition_175_240_0.45"":""No""}",NA,[0],NA,NA,02/09/2020 09:46:51
NA,263.03190299999824,project_choice,survey-multi-choice,14,4981,0.0-0.0-2.0-18.0-0.0-0.0-0.9,zygzlfjkecl0z1r,aggregation,experiment4,prolific,low,absent,aware,separate,7,21,NA,NA,NA,"{""high-rise-construction_50-hybrid_100_240_0.75"":""No""}",NA,[0],NA,NA,02/09/2020 09:46:51
NA,262.94619599998714,project_choice,survey-multi-choice,15,5246,0.0-0.0-2.0-18.0-0.0-0.0-0.10,zygzlfjkecl0z1r,aggregation,experiment4,prolific,low,absent,aware,separate,7,21,NA,NA,NA,"{""oil-well_onshore-Dhahran-Saudi-Arabia_135_240_0.55"":""No""}",NA,[0],NA,NA,02/09/2020 09:46:51
NA,245.82531299999755,project_choice,survey-multi-choice,16,5494,0.0-0.0-2.0-18.0-0.0-0.0-0.11,zygzlfjkecl0z1r,aggregation,experiment4,prolific,low,absent,aware,separate,7,21,NA,NA,NA,"{""microchip_DSLR-camera_150_240_0.45"":""No""}",NA,[0],NA,NA,02/09/2020 09:46:51
NA,275.4660639999993,project_choice,survey-multi-choice,17,5772,0.0-0.0-2.0-18.0-0.0-0.0-0.12,zygzlfjkecl0z1r,aggregation,experiment4,prolific,low,absent,aware,separate,7,21,NA,NA,NA,"{""record-deal_indie-rock_115_240_0.55"":""Yes""}",NA,[0],NA,NA,02/09/2020 09:46:51
NA,230.19856700000219,project_choice,survey-multi-choice,18,6005,0.0-0.0-2.0-18.0-0.0-0.0-0.13,zygzlfjkecl0z1r,aggregation,experiment4,prolific,low,absent,aware,separate,7,21,NA,NA,NA,"{""shipping-logistics_power-tools_180_240_0.35"":""Yes""}",NA,[0],NA,NA,02/09/2020 09:46:51
NA,281.6055239999996,project_choice,survey-multi-choice,19,6288,0.0-0.0-2.0-18.0-0.0-0.0-0.14,zygzlfjkecl0z1r,aggregation,experiment4,prolific,low,absent,aware,separate,7,21,NA,NA,NA,"{""restaurant-chain_chinese_145_240_0.55"":""No""}",NA,[0],NA,NA,02/09/2020 09:46:51
NA,282.6060269999998,project_choice,survey-multi-choice,20,6573,0.0-0.0-2.0-18.0-0.0-0.0-0.15,zygzlfjkecl0z1r,aggregation,experiment4,prolific,low,absent,aware,separate,7,21,NA,NA,NA,"{""national-newspaper_business_195_240_0.3"":""Yes""}",NA,[0],NA,NA,02/09/2020 09:46:51
NA,323.3770949999971,project_choice,survey-multi-choice,21,6900,0.0-0.0-2.0-18.0-0.0-0.0-0.16,zygzlfjkecl0z1r,aggregation,experiment4,prolific,low,absent,aware,separate,7,21,NA,NA,NA,"{""pharmaceutical_immune-dysregulation_115_240_0.7"":""Yes""}",NA,[0],NA,NA,02/09/2020 09:46:51
NA,239.73472299999867,project_choice,survey-multi-choice,22,7143,0.0-0.0-2.0-18.0-0.0-0.0-0.17,zygzlfjkecl0z1r,aggregation,experiment4,prolific,low,absent,aware,separate,7,21,NA,NA,NA,"{""railway_Punjab-Pakistan_105_240_0.65"":""Yes""}",NA,[0],NA,NA,02/09/2020 09:46:51
NA,255.4183710000043,project_choice,survey-multi-choice,23,7400,0.0-0.0-2.0-18.0-0.0-0.0-0.18,zygzlfjkecl0z1r,aggregation,experiment4,prolific,low,absent,aware,separate,7,21,NA,NA,NA,"{""GMO_animal-feed-with-enzymes-to-enhance-digestion_165_240_0.45"":""Yes""}",NA,[0],NA,NA,02/09/2020 09:46:51
