"view_history","rt","stage","trial_type","trial_index","time_elapsed","internal_node_id","subject","thesis_project","experiment","sample","project_variation","anecdote_variation","anecdote_between","current_project_display_order","PROLIFIC_PID","STUDY_ID","SESSION_ID","url","responses","current_response","stimulus","button_pressed"
"[{""page_index"":0,""viewing_time"":4099.285000003874}]","4100.214999867603","welcome","instructions","0","4103","0.0-0.0-0.0","ulrl29x2z3wlxw7","anecdotes","experiment2","prolific","2","1","combined","6","604544a8c7cb5466fe745327","6045d6ca9596fc72799e2a27","6045e0358151427395863fda","","","","",""
"[{""page_index"":0,""viewing_time"":46203.90999992378},{""page_index"":1,""viewing_time"":25464.080000063404},{""page_index"":2,""viewing_time"":15749.644999857992}]","87418.09999989346","pis","instructions","1","91519","0.0-0.0-1.0-0.0","ulrl29x2z3wlxw7","anecdotes","experiment2","prolific","2","1","combined","6","604544a8c7cb5466fe745327","6045d6ca9596fc72799e2a27","6045e0358151427395863fda","","","","",""
"","11730.024999938905","consent","external-html","2","103780","0.0-0.0-1.0-1.0","ulrl29x2z3wlxw7","anecdotes","experiment2","prolific","2","1","combined","6","604544a8c7cb5466fe745327","6045d6ca9596fc72799e2a27","6045e0358151427395863fda","resource/other/consent.html","","","",""
"","2805.1050000358373","id","survey-html-form","3","106591","0.0-0.0-1.0-2.0","ulrl29x2z3wlxw7","anecdotes","experiment2","prolific","2","1","combined","6","604544a8c7cb5466fe745327","6045d6ca9596fc72799e2a27","6045e0358151427395863fda","","{""prolific"":""604544a8c7cb5466fe745327""}","","",""
"","5316.844999790192","contact","survey-html-form","4","111910","0.0-0.0-1.0-3.0","ulrl29x2z3wlxw7","anecdotes","experiment2","prolific","2","1","combined","6","604544a8c7cb5466fe745327","6045d6ca9596fc72799e2a27","6045e0358151427395863fda","","{""contact"":""no"",""address"":""""}","","",""
"","55832.64999999665","demographics","survey-html-form","5","167745","0.0-0.0-1.0-4.0","ulrl29x2z3wlxw7","anecdotes","experiment2","prolific","2","1","combined","6","604544a8c7cb5466fe745327","6045d6ca9596fc72799e2a27","6045e0358151427395863fda","","{""sex"":""male"",""age"":""31"",""language"":""Vietnamese"",""language_other"":"""",""business_edu"":""4"",""business_exp"":""11"",""current"":""no""}","no","",""
"","28031.410000054166","instructions","survey-html-form","6","195792","0.0-0.0-2.0-0.0-0.0","ulrl29x2z3wlxw7","anecdotes","experiment2","prolific","2","1","combined","6","604544a8c7cb5466fe745327","6045d6ca9596fc72799e2a27","6045e0358151427395863fda","","{""instructions_test"":""5""}","","",""
"","21565.489999949932","interstitial","survey-html-form","7","217360","0.0-0.0-2.0-6.0-0.0-0.0-0.0-0.0-0.0","ulrl29x2z3wlxw7","anecdotes","experiment2","prolific","2","1","combined","6","604544a8c7cb5466fe745327","6045d6ca9596fc72799e2a27","6045e0358151427395863fda","","{""interstitial_2"":""on""}","","",""
"","NaN","project_allocation","survey-html-form3","8","477822","0.0-0.0-2.0-6.0-0.0-0.0-0.0-0.0-1.0","ulrl29x2z3wlxw7","anecdotes","experiment2","prolific","2","1","combined","6","604544a8c7cb5466fe745327","6045d6ca9596fc72799e2a27","6045e0358151427395863fda","","{""anecdote_high_positive_Enfuel_oil-well_901_91_Oil-extracted_2000_Time-the-machinery-lasts-before-requiring-maintenance_7_Probability-of-finding-oil_80_Type-of-well_offshore_comparison"":""20"",""anecdote_high_positive_Codeck_software_100_90_Code-written_1000_Security-rating_85_Number-of-potential-customers-in-first-year_3_Target-users_enterprise_target"":""80""}","","",""
"","301908.15000003204","follow_up","survey-html-form","9","779723","0.0-0.0-2.0-6.0-0.0-0.0-0.0-0.0-2.0","ulrl29x2z3wlxw7","anecdotes","experiment2","prolific","2","1","combined","6","604544a8c7cb5466fe745327","6045d6ca9596fc72799e2a27","6045e0358151427395863fda","","{""follow-up_anecdote_positive_high_rating_similarity-rating"":""6"",""follow-up_anecdote_positive_high_rating_relevance-specific-rating"":""7"",""follow-up_anecdote_positive_high_rating_relevance-general-rating"":""5"",""follow-up_anecdote_positive_high_text_justify"":""The Cweb project gave us a baseline of avg. 800 lines of written code for the dev team per day. That baseline is also my determining factor on when the project would get delivered to Production. The noise that isn't relevant for release is if the business line can acquire the 2 or 3 million users needed by EoY 1 (this fact is just noise). There is also nothing stating whether or not the team is better projected to delivering more lines of code being Centralized of Distributed, whether the teams are sliced Horizontal or Vertical. These 2 additional factors, currently, would be considered noise that may not be required. The Codeck project was noted to have 1000 lines of code delivered per day. If the Difference is 20% from Cweb (our baseline), then we would assume we can utilize 20% less resources on Codeck in order to garner the same delivery cycle as we have with Cweb. If that is true, then we can adjust resources and reallocate the remainder to the secondary project and jump start that one as well.""}","","",""
