"view_history","rt","stage","trial_type","trial_index","time_elapsed","internal_node_id","subject","thesis_project","experiment","sample","project_variation","anecdote_variation","anecdote_between","current_project_display_order","PROLIFIC_PID","STUDY_ID","SESSION_ID","url","responses","current_response","stimulus","button_pressed"
"[{""page_index"":0,""viewing_time"":14831}]","14833","welcome","instructions","0","14840","0.0-0.0-0.0","j86mekx8w2hgln6","anecdotes","experiment2","prolific","3","1","combined","6","5adf3828dee8590001b05860","604016aa51301a1e54c91c67","604184e7e4d4b412f71e632a","","","","",""
"[{""page_index"":0,""viewing_time"":42342},{""page_index"":1,""viewing_time"":5730},{""page_index"":2,""viewing_time"":11960}]","60032","pis","instructions","1","74877","0.0-0.0-1.0-0.0","j86mekx8w2hgln6","anecdotes","experiment2","prolific","3","1","combined","6","5adf3828dee8590001b05860","604016aa51301a1e54c91c67","604184e7e4d4b412f71e632a","","","","",""
"","78644","consent","external-html","2","154392","0.0-0.0-1.0-1.0","j86mekx8w2hgln6","anecdotes","experiment2","prolific","3","1","combined","6","5adf3828dee8590001b05860","604016aa51301a1e54c91c67","604184e7e4d4b412f71e632a","resource/other/consent.html","","","",""
"","2049","id","survey-html-form","3","156447","0.0-0.0-1.0-2.0","j86mekx8w2hgln6","anecdotes","experiment2","prolific","3","1","combined","6","5adf3828dee8590001b05860","604016aa51301a1e54c91c67","604184e7e4d4b412f71e632a","","{""prolific"":""5adf3828dee8590001b05860""}","","",""
"","5528","contact","survey-html-form","4","161979","0.0-0.0-1.0-3.0","j86mekx8w2hgln6","anecdotes","experiment2","prolific","3","1","combined","6","5adf3828dee8590001b05860","604016aa51301a1e54c91c67","604184e7e4d4b412f71e632a","","{""contact"":""no"",""address"":""""}","","",""
"","33360","demographics","survey-html-form","5","195356","0.0-0.0-1.0-4.0","j86mekx8w2hgln6","anecdotes","experiment2","prolific","3","1","combined","6","5adf3828dee8590001b05860","604016aa51301a1e54c91c67","604184e7e4d4b412f71e632a","","{""sex"":""male"",""age"":""33"",""language"":""No"",""language_other"":"""",""business_edu"":""10"",""business_exp"":""16"",""current"":""yes""}","yes","",""
"","62205","business_information","survey-html-form","6","257576","0.0-0.0-1.0-5.0-0.0","j86mekx8w2hgln6","anecdotes","experiment2","prolific","3","1","combined","6","5adf3828dee8590001b05860","604016aa51301a1e54c91c67","604184e7e4d4b412f71e632a","","{""company_name"":"""",""sector"":""Health Services - Payor, Provider"",""sector_other"":"""",""employees"":""5000"",""revenue"":""150"",""role_company"":""Other"",""role_company_other"":""Business Analyst"",""role_allocation"":""Decide on allocations for line of business level"",""role_allocation_other"":"""",""budget"":""3""}","","",""
"","607686","instructions","survey-html-form","7","865267","0.0-0.0-2.0-0.0-0.0","j86mekx8w2hgln6","anecdotes","experiment2","prolific","3","1","combined","6","5adf3828dee8590001b05860","604016aa51301a1e54c91c67","604184e7e4d4b412f71e632a","","{""instructions_test"":""5""}","","",""
"","468041","interstitial","survey-html-form","8","1333328","0.0-0.0-2.0-10.0-0.0-0.0-0.0-0.0-0.0","j86mekx8w2hgln6","anecdotes","experiment2","prolific","3","1","combined","6","5adf3828dee8590001b05860","604016aa51301a1e54c91c67","604184e7e4d4b412f71e632a","","{""interstitial_5"":""on""}","","",""
"","NaN","project_allocation","survey-html-form3","9","1363241","0.0-0.0-2.0-10.0-0.0-0.0-0.0-0.0-1.0","j86mekx8w2hgln6","anecdotes","experiment2","prolific","3","1","combined","6","5adf3828dee8590001b05860","604016aa51301a1e54c91c67","604184e7e4d4b412f71e632a","","{""statistics-only_NA_NA_Poppin_record-label_102_86_Record-projects-completed_8_Radio-listenership-nationally_2_Relevant-network-connections_13_Genre_pop_comparison"":""0"",""statistics-only_NA_NA_Savoro_restaurant-chain_903_93_Restaurants-established_9_Number-of-reservations-on-a-Saturday-night_100_Positive-reviews_40_Restaurant-type_casual-sit-down-dining_target"":""100""}","","",""
